Primary code,UNS,Category,High_Cu,Low_Cu,High_Zn,Low_Zn,High_Pb,Low_Pb,High_Sn,Low_Sn,High_Ni,Low_Ni,High_Al,Low_Al,High_Mn,Low_Mn,High_Fe,Low_Fe,,,,,,
CW623N,C38000,RBS,57,55,43.4,39.05,3,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW624N,NA,RBS,57,55,43.35,38.6,3,1.6,0.3,0,0.3,0,0.5,0.05,0,0,0.3,0,,,,,,
CW700R,C69100,Tube,86,81,16.7,9.6,0.05,0,0.1,0,1.4,0.8,1.2,0.7,0.1,0,0.25,0,,,,,,
CW701R,C43600,Wire,82,80,19.8,17.5,0,0,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW702R,C68700,PSS,79,76,22.2,18.38,0.05,0,0,0,0.1,0,2.3,1.8,0.1,0,0.07,0,,,,,,
CW702R,C68700,Tube,79,76,22.2,18.38,0.05,0,0,0,0.1,0,2.3,1.8,0.1,0,0.07,0,,,,,,
CW703R,C69000,PSS,75,72,24.75,20.65,0,0,0,0,0,0,3.8,3,0,0,0,0,,,,,,
CW704R,C67000,PSS,65,63,29.8,24.7,0.8,0.2,0,0,0,0,6,5,0,0,3.5,2,,,,,,
CW704R,C67000,RBS,65,63,29.8,24.7,0.8,0.2,0,0,0,0,6,5,0,0,3.5,2,,,,,,
CW705R,C33000,RBS,68,65,29.8,19,0.8,0.2,0.2,0,1,0,5,4,3,0.5,3,0.5,,,,,,
CW706R,C44300,Tube,72.5,70,29.1,25.88,0.05,0,1.3,0.9,0.1,0,0,0,0.1,0,0.07,0,,,,,,
CW707R,C26130,PSS,71,69,31,28.68,0.07,0,0.05,0,0,0,0.05,0,0.1,0,0.05,0,,,,,,
CW707R,C26130,RBS,71,69,31,28.68,0.07,0,0.05,0,0,0,0.05,0,0.1,0,0.05,0,,,,,,
CW707R,C26130,Tube,71,69,31,28.68,0.07,0,0.05,0,0,0,0.05,0,0.1,0,0.05,0,,,,,,
CW707R,C26130,Wire,71,69,31,28.68,0.07,0,0.05,0,0,0,0.05,0,0.1,0,0.05,0,,,,,,
CW708R,C69800,RBS,70,66,33.3,28.7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CW708R,C69800,Tube,70,66,33.3,28.7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
