,Year,Secondary ratio,CU,SR,TCRC,SP2
Jiangsu Jinhui,2015,0,,,625.7403040522361,626.0847314924467
Jiangsu Jinhui,2016,0,,,562.2139195262345,526.1823495711269
Jiangsu Jinhui,2017,0,,,523.0624830203443,756.6289598528965
Jiangxi Jinhui,1992,0,,,987.505982760015,
Jiangxi Jinhui,1993,0,,,959.1938700091315,643.4263428857876
Jiangxi Jinhui,1994,0,,,841.3371092476353,710.6444034910924
Jiangxi Jinhui,1995,0,,,659.2490789967804,1003.1611059604347
Jiangxi Jinhui,1996,0,,,839.2436749351455,694.3183006954018
Jiangxi Jinhui,1997,0,,,906.3963774982449,686.8798854471715
Jiangxi Jinhui,1998,0,,,820.28826929231,498.08672926585473
Jiangxi Jinhui,1999,0,,,557.9950901626388,452.20109928406646
Jiangxi Jinhui,2000,0,,,555.4588259029698,533.8081174976221
Jiangxi Jinhui,2001,0,,,585.971062800398,398.2247760378723
Jiangxi Jinhui,2002,0,,,528.7539362675177,358.9698750922221
Jiangxi Jinhui,2003,0,,,437.7020239493989,303.6604734259495
Jiangxi Jinhui,2004,0,,,314.71018578087495,642.7808068011332
Jiangxi Jinhui,2005,0,,,605.9993462162437,702.623222632848
Jiangxi Jinhui,2006,0,,,654.0771892519688,1222.9212106889845
Jiangxi Jinhui,2007,0,,,400.97019232272004,1066.9176514175442
Jiangxi Jinhui,2008,0,,,289.6092544923923,870.8586548308886
Jiangxi Jinhui,2009,0,0.15,1.0,484.40437246063215,733.937472228944
Jiangxi Jinhui,2010,0,0.095,1.0,295.48463456469347,965.4771784642735
Jiangxi Jinhui,2011,0,0.1,1.0,344.9625421973603,1184.76825799962
Jiangxi Jinhui,2012,0,0.19699999999999998,1.0,377.1973518924253,910.701977977671
Jiangxi Jinhui,2013,0,0.4,1.0,416.49708654295705,620.9346932352228
Jiangxi Jinhui,2014,0,0.5,1.0,538.6579380491202,637.6917506905429
Jiangxi Jinhui,2015,0,0.8,1.0,625.7403040522361,626.0847314924467
Jiangxi Jinhui,2016,0,1.0,1.0,562.2139195262345,526.1823495711269
Jiangxi Jinhui,2017,0,1.0,1.0,523.0624830203443,756.6289598528965
Jiangxi Zili,1992,0,,,987.505982760015,
Jiangxi Zili,1993,0,,,959.1938700091315,643.4263428857876
Jiangxi Zili,1994,0,,,841.3371092476353,710.6444034910924
Jiangxi Zili,1995,0,,,659.2490789967804,1003.1611059604347
Jiangxi Zili,1996,0,,,839.2436749351455,694.3183006954018
